module,module_label,column,missing_rate,iqr,drop_missing_rate_gt_90pct,drop_low_iqr,retained,drop_reason
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_1_mm2_1_mm2_v01,0.0,0.0004,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_1_mm2_2_mm2_v02,0.0,1.1756999999999995,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_1_mm2_3_mm2_v03,0.0,1.8983000000000008,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_1_mm2_4_mm2_v04,0.0,1.3416000000000006,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_1_mm2_5_mm2_v05,0.0,1.2385000000000002,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_1_mm2_6_mm2_v06,0.0,1.7125000000000004,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_1_mm2_7_mm2_v07,0.0,1.3858999999999997,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_1_mm2_8_mm2_v08,0.0,1.0362,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_1_mm2_9_mm2_v09,0.0,0.0014,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_2_mm2_1_mm2_v10,0.0,1.4013,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_2_mm2_2_mm2_v11,0.0,1.8400000000000007,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_2_mm2_3_mm2_v12,0.0,0.6119000000000003,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_2_mm2_4_mm2_v13,0.0,0.4772999999999996,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_2_mm2_5_mm2_v14,0.0,0.4295,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_2_mm2_6_mm2_v15,0.0,0.5797000000000008,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_2_mm2_7_mm2_v16,0.0,1.0848000000000004,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_2_mm2_8_mm2_v17,0.0,1.5850999999999995,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_2_mm2_9_mm2_v18,0.0,0.8825,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_3_mm2_1_mm2_v19,0.0,2.8506,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_3_mm2_2_mm2_v20,0.0,0.7899999999999991,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_3_mm2_3_mm2_v21,0.0,0.4109999999999996,False,False,True,
CCFA,Choriocapillaris Flow Area,GRID3mm_3mm_Choriocapillaris_Flow_Area_mm2_block1_3_mm2_4_mm2_v22,0.0,0.3290999999999995,False,False,True,
